epoch,loss,lr
1,0.9070247632485849,0.005
2,0.7297355952086272,0.005
3,0.7557068489215992,0.005
4,0.5742692914274004,0.0005
5,0.5172723763518863,0.0005
6,0.4826983980558537,0.0005
7,0.4566414262409563,5e-05
8,0.44641272337348376,5e-05
9,0.45078831083244747,5e-05
10,0.4459260663500539,5e-06
11,0.44107899180165044,5e-06
12,0.4536546755720068,5e-06
13,0.4540637654286844,5.000000000000001e-07
14,0.4404453050207209,5.000000000000001e-07
15,0.44351378359176497,5.000000000000001e-07
16,0.436392276375382,5.000000000000001e-08
17,0.4532386754397993,5.000000000000001e-08
18,0.43230628305011326,5.000000000000001e-08
19,0.4437113669183519,5.000000000000002e-09
20,0.44951801829867893,5.000000000000002e-09
21,0.44809878810688303,5.000000000000002e-09
22,0.44526953995227814,5.000000000000002e-10
23,0.43842551167364474,5.000000000000002e-10
24,0.4354799218751766,5.000000000000002e-10
25,0.43123919158070173,5.000000000000003e-11
26,0.4421962543770119,5.000000000000003e-11
27,0.447152026825481,5.000000000000003e-11
28,0.4440118372440338,5.000000000000003e-12
29,0.4445265349414613,5.000000000000003e-12
30,0.44749889495196166,5.000000000000003e-12
