epoch,loss,lr
1,1.062239639185093,0.005
2,0.7175169388453165,0.005
3,0.7528345496566208,0.005
4,0.6319429129362106,0.005
5,0.7169610902115151,0.0005
6,0.6445398573522214,0.0005
7,0.5285051487110279,0.0005
8,0.44920947430310426,0.0005
9,0.43098392917050254,0.0005
10,0.40631061019720854,5e-05
11,0.3895381297226305,5e-05
12,0.382585025495953,5e-05
13,0.3719721833864848,5e-05
14,0.3775726540221108,5e-05
15,0.3692760152949227,5e-06
16,0.3692092967254144,5e-06
17,0.368726404176818,5e-06
18,0.36758271356423694,5e-06
19,0.3740890332394176,5e-06
20,0.36820354450632026,5.000000000000001e-07
21,0.3786813903737951,5.000000000000001e-07
22,0.370238921156636,5.000000000000001e-07
23,0.38015255828698474,5.000000000000001e-07
24,0.36608565957457934,5.000000000000001e-07
25,0.3729331581680863,5.000000000000001e-08
