epoch,loss,lr
1,0.7650679603770927,0.005
2,0.6085147349922745,0.005
3,0.4831208961981314,0.005
4,0.4585604082655024,0.0005
5,0.3989707717189082,0.0005
6,0.36709108507191696,0.0005
7,0.3419942475027508,5e-05
8,0.33681237918359264,5e-05
9,0.3408507450863167,5e-05
10,0.3315486968667419,5e-06
11,0.3257527147178297,5e-06
12,0.325810639946549,5e-06
13,0.3372612490698143,5.000000000000001e-07
14,0.3200429672444308,5.000000000000001e-07
15,0.33867440676247634,5.000000000000001e-07
16,0.33556980501722405,5.000000000000001e-08
17,0.33432899636250957,5.000000000000001e-08
18,0.3343767623106639,5.000000000000001e-08
19,0.3330182317230437,5.000000000000002e-09
20,0.3333557866237782,5.000000000000002e-09
21,0.32882365198047075,5.000000000000002e-09
22,0.3316195993511765,5.000000000000002e-10
23,0.32854000948093554,5.000000000000002e-10
24,0.3341165273277848,5.000000000000002e-10
25,0.3230207369283394,5.000000000000003e-11
26,0.33619134183283206,5.000000000000003e-11
27,0.3324940193582464,5.000000000000003e-11
28,0.3402019970946842,5.000000000000003e-12
29,0.339987576007843,5.000000000000003e-12
30,0.3265085143071634,5.000000000000003e-12
