epoch,loss,lr
1,0.42154921039387033,0.005
2,0.17745451629161835,0.005
3,0.11388643403296117,0.005
4,0.08973209904851737,0.0005
5,0.07982347933230577,0.0005
6,0.07584702106261695,0.0005
7,0.0729500865218816,5e-05
8,0.07316066579962219,5e-05
9,0.07303346500352577,5e-05
10,0.0720072815677634,5e-06
11,0.07290958723536244,5e-06
12,0.07217342944608794,5e-06
13,0.07260088332825237,5.000000000000001e-07
14,0.07402157804204358,5.000000000000001e-07
15,0.07259257413722851,5.000000000000001e-07
16,0.07157213772060694,5.000000000000001e-08
17,0.07307846933879235,5.000000000000001e-08
18,0.0736592224350682,5.000000000000001e-08
19,0.07201714427382858,5.000000000000002e-09
20,0.07046020520782029,5.000000000000002e-09
21,0.07146000965601867,5.000000000000002e-09
22,0.07281377994351917,5.000000000000002e-10
23,0.07333333052142903,5.000000000000002e-10
24,0.0746668761389123,5.000000000000002e-10
25,0.0709776335430366,5.000000000000003e-11
26,0.07334894321306988,5.000000000000003e-11
27,0.07145588065463084,5.000000000000003e-11
28,0.07304252966962478,5.000000000000003e-12
29,0.07139973397608157,5.000000000000003e-12
30,0.07293583259538368,5.000000000000003e-12
